arxiv_id,urls
arXiv:1505.06392,"['github.com/dzesmin/' 'github.com/dzesmin/TEA' 'github.com/dzesmin/TEA,'
 'github.com/dzesmin/TEA-Examples' 'github.com/dzesmin/TEA-Examples)'
 'github.com/joeharr4/BART)']"
arXiv:1901.03764,"['github.com/dzesmin/TEA' 'github.com/exoclime/VULCAN'
 'github.com/pcubillos/ApJtemplate' 'github.com/pcubillos/ApJtemplate),'
 'github.com/pcubillos/rate' 'github.com/pcubillos/rate),'
 'github.com/pcubillos/rate,']"
arXiv:1711.05739,"['github.com/' 'github.com/rodluger/planetplanet'
 'github.com/rodluger/pysyzygy/']"
arXiv:1810.06559,"['github.com/pybind/pybind11' 'github.com/rodluger/starry,']"
arXiv:1804.10096,['github.com/']
arXiv:1803.01003,"['github.com/CPM-project/MCPM' 'github.com/rpoleski/MulensModel'
 'github.com/rpoleski/MulensModel/' 'github.com/vstinner/perf']"
arXiv:1611.03871,['github.com/elizakempton/Exo_Transmit']
arXiv:1505.06213,"['github.com/astroML/astroML' 'github.com/fedhere/residuals_pylab'
 'github.com/nyusngroup/pyMCZ' 'github.com/nyusngroup/pyMCZ/blob/master/']"
arXiv:1610.01336,"['github.com/pcubillos/MCcubed' 'github.com/pcubillos/MCcubed)'
 'github.com/pcubillos/MCcubed),']"
arXiv:1407.7676,"['github.com/GalSim-developers/GalSim'
 'github.com/GalSim-developers/GalSim/'
 'github.com/GalSim-developers/GalSim/blob/master/devel/modules/lensing_engine']"
arXiv:1803.02316,['github.com/ryanoelkers/DIA' 'github.com/ryanoelkers/DIA/']
arXiv:1902.05019,['github.com/chianti-atomic/ChiantiPy']
arXiv:1809.09121,['github.com/' 'github.com/herjy/SLIT']
arXiv:1711.03595,['github.com/kylemede/ExoSOFT' 'github.com/sczesla/PyAstronomy']
arXiv:1802.10157,"['github.com/GalSim-developers/GalSim/wiki/' 'github.com/fred3m/scarlet'
 'github.com/kbarbary/sep']"
arXiv:1609.03956,['github.com/jdcphysics/validation/']
arXiv:1811.03577,['github.com/guille-c/labeling']
arXiv:1412.3451,"['github.com/jobovy/galpy' 'github.com/jobovy/galpy-paper-figures'
 'github.com/jobovy/galpyandthelatestdocumentationcanbefoundathttp://galpy'
 'github.com/jobovy/galpywithextensivedocumentationavailableathttp://galpy']"
arXiv:1209.3014,['github.com/t-brandt/acorns-adi']
arXiv:1605.04920,['github.com/jeffzhen/gsm2016']
arXiv:1801.03955,['github.com/CoolWorlds/orbital-stability']
arXiv:1310.0723,['github.com/pdh21/NMF_software/']
arXiv:1710.10266,['github.com/bsafdi/GCE-2FIG' 'github.com/bsafdi/GCE-2FIG/']
arXiv:1705.06184,['github.com/kbarbary/nestle' 'github.com/vortex-exoplanet/VIP']
arXiv:1309.7044,['github.com/ndaniyar/aphot)']
arXiv:1606.05770,['github.com/H-E-L-P/XID_plus']
arXiv:1807.00096,['github.com/Jieyu126/Jitter)']
arXiv:1609.09085,['github.com/morriscb/The-wiZZ/' 'github.com/ryanscranton/astro-stomp/']
arXiv:1901.04489,"['github.com/' 'github.com/keﬂavich/' 'github.com/keﬂavich/Orion'
 'github.com/radio-astro-tools/spectral-cube)']"
